Country,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
AUT,-200,-155,11,32,128,-157,-92,-104,-48,-10,7,238,118,243,248,180,118,15,79,25,58,-2,78,17,4,35,122,5,-28,-46,9,-2,152,,,,,,,,,,,,,,,,,,
BEL,-165,-52,-118,-227,-155,-327,-224,-196,-309,-243,-124,225,955,1898,2186,1646,996,398,349,54,94,42,-88,27,-120,59,-264,-195,-74,-212,30,99,,,,,,,,,,,,,,,,,,,
BGR,-482,-302,-353,-120,-34,30,3,-131,-108,-231,-136,-130,-79,-105,-59,-59,-82,-131,-128,106,-93,-161,-16,-5,-52,-64,225,88,-47,-9,175,99,85,13,,,,,,,,,,,,,,,,,
CHE,-160,-123,-82,-49,-48,-118,-128,-145,-180,-93,-1,183,327,567,398,333,162,15,-24,-32,-25,-66,-6,-5,-41,-40,-42,-42,-143,-91,23,-130,-112,,,,,,,,,,,,,,,,,,
CZE,-65,-31,-151,-58,-48,-119,-115,-162,-118,-128,-36,51,85,150,119,50,-85,79,-34,36,-84,-115,161,8,65,100,83,-57,,,,,,,,,,,,,,,,,,,,,,,
DEUTNP,-466,-160,-357,-919,-581,-1307,-1027,-2063,-2074,-1665,-590,154,736,2142,2584,1688,1099,900,279,79,536,-85,739,547,-236,631,-124,-48,-458,-930,-367,,,,,,,,,,,,,,,,,,,,
DNK,-5,34,-32,-74,-62,-61,-110,-122,-160,-110,-94,16,23,97,74,50,99,9,11,-24,26,-5,-13,21,-23,46,53,13,65,-41,15,-2,44,-4,,,,,,,,,,,,,,,,,
ESP,-966,-673,-356,-525,-356,-319,-579,-852,-1121,-171,768,4432,10944,12536,9241,5341,2658,1315,1030,59,216,-69,-126,-328,-317,38,-653,144,238,535,1112,965,475,,,,,,,,,,,,,,,,,,
EST,-49,-14,-15,-36,-32,-67,0,-5,-20,-41,16,0,11,13,10,10,41,16,28,-16,-9,26,-9,10,1,26,8,3,9,14,32,-4,8,-8,,,,,,,,,,,,,,,,,
FIN,-120,-112,-113,-89,-65,-8,-1,-5,-72,-1,2,34,44,30,133,36,124,89,81,130,-5,36,14,47,93,61,42,-16,53,-38,3,-54,-315,,,,,,,,,,,,,,,,,,
FRATNP,-726,-378,-624,-752,-554,-799,-780,-1084,-896,-507,480,2154,4507,7379,6343,4313,1857,420,317,118,486,2,-27,-59,-783,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR_SCO,-115,7,-60,-91,-92,-38,-97,-85,6,-21,29,76,-39,646,878,849,749,600,401,357,181,111,37,34,46,-18,-35,-49,37,-16,49,-1,,,,,,,,,,,,,,,,,,,
GBRTENW,54,235,-222,-907,-590,-937,-677,-704,-364,-597,-186,79,1020,6083,7999,11861,11541,8019,3084,4384,2350,1652,735,560,-63,-314,-44,-560,-269,-160,-86,-155,305,472,,,,,,,,,,,,,,,,,
GRC,-77,-48,26,-12,202,170,246,-5,65,219,198,206,136,102,48,16,-44,32,-43,340,260,-268,-75,-53,-36,-204,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,-276,-336,-343,-297,-257,-434,-234,-371,-114,-207,-132,165,-2,13,94,78,-81,-119,-22,71,-168,-97,132,-10,-186,52,38,-163,-214,-275,-117,,,,,,,,,,,,,,,,,,,,
ISL,11,7,8,10,-7,-1,2,2,-1,5,-3,-3,-5,7,5,11,-9,3,-5,-1,6,7,-11,-1,-7,-13,-8,8,3,-10,-1,-2,-3,,,,,,,,,,,,,,,,,,
ISR,80,-44,66,-49,-65,-108,-23,4,-59,-11,41,29,90,160,40,100,45,14,40,45,160,47,31,30,27,16,4,73,65,1,116,-45,-88,,,,,,,,,,,,,,,,,,
ITA,-1748,-1463,-1149,-698,-738,-589,-362,-476,58,1362,5164,9246,10630,8032,6344,4328,2607,1369,793,449,-182,-437,-635,-1038,-625,22,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,-55,-74,-133,-127,-150,-138,-67,-189,-59,-68,-47,-2,28,-22,13,-3,22,20,-47,-6,-62,-5,-11,105,48,79,-12,-4,52,-55,1,,,,,,,,,,,,,,,,,,,,
LUX,-24,-8,3,-2,-9,-7,-28,-5,-14,-11,9,3,26,6,44,10,10,-3,19,6,2,10,-1,-6,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,-15,-32,-93,-62,-56,-56,-62,-80,-182,-139,-81,-38,-67,-22,-84,21,-13,22,37,-10,35,-21,1,47,-30,-21,109,-39,-28,-3,4,-15,17,53,23,,,,,,,,,,,,,,,,
NLD,-180,10,-136,-293,-150,-98,-136,-432,-215,-238,24,544,1415,2172,2127,1465,1107,646,197,47,44,8,35,55,67,-6,-114,-39,-162,-22,40,-6,599,226,,,,,,,,,,,,,,,,,
NOR,-64,30,-71,-23,-80,-66,-19,-55,-39,-69,-4,-10,73,32,53,48,-6,10,3,-40,7,-53,-39,4,13,-56,-59,-54,18,-1,33,-20,-43,-130,,,,,,,,,,,,,,,,,
POL,-66,-276,-483,-601,-318,-478,-258,-320,-319,-270,-4,40,-3,30,182,570,119,329,284,382,272,388,591,536,226,355,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,-296,-154,-97,-164,-9,-171,-369,-152,-164,-164,67,219,375,465,495,373,315,182,241,94,139,409,136,-12,-51,255,199,333,723,,,,,,,,,,,,,,,,,,,,,,
RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,-74,-59,-120,-60,-70,-98,-13,-106,-46,-27,6,103,-2,60,-56,-54,-39,-17,32,24,-19,-58,20,-12,-67,-12,-16,-45,-72,-147,,,,,,,,,,,,,,,,,,,,,
SVN,-23,-30,-37,-21,-13,-12,37,-14,-30,13,-5,24,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,-156,-63,-120,-194,-40,-163,-102,-215,-198,-90,-170,65,216,579,821,763,572,588,543,414,355,93,210,196,131,106,-19,-1,-66,-32,-44,21,-47,-79,,,,,,,,,,,,,,,,,
USA,79,-379,-684,27,455,933,878,1527,2316,2323,1918,2953,7765,17074,24289,22830,20719,16168,14330,12469,10004,8211,7070,6317,6318,6715,6894,8130,8521,8737,6687,2422,-7400,,,,,,,,,,,,,,,,,,